0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:06:43 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:21:00 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:21:01 +0900] "GET /HRD_1234-easy/list.jsp HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:21:02 +0900] "GET /HRD_1234-easy/modify.jsp?custno=100010 HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:21:08 +0900] "GET /HRD_1234-easy/action.jsp?gubun=modify&custno=100010&custname=%EC%95%88%EB%85%95%ED%9E%88&phone=sad&address=asd&joindate=2002-12-12&grade=A&city=12 HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:21:09 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:21:15 +0900] "GET /HRD_1234-easy/result.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:21:27 +0900] "GET /HRD_1234-easy/add.jsp HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:21:52 +0900] "GET /HRD_1234-easy/action.jsp?gubun=insert&custno=100011&custname=%EA%B0%80%EC%84%B8%EC%9A%94&phone=%E3%85%87%E3%85%81%E3%84%B4&address=%E3%84%B4%E3%85%87%E3%84%B9&joindate=2012-10-10&grade=C&city=32 HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:21:53 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:22:01 +0900] "GET /HRD_1234-easy/list.jsp HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:29:23 +0900] "GET /HRD_1234-easy/list.jsp HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:29:24 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:29:24 +0900] "GET /HRD_1234-easy/result.jsp HTTP/1.1" 200 1604
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:29:27 +0900] "GET /HRD_1234-easy/index.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [23/Dec/2022:17:29:27 +0900] "GET /HRD_1234-easy/result.jsp HTTP/1.1" 200 1604
